#,Jugadores,F. Nacim./Edad,Nac.,Valor de mercado,Valor de mercado Num
99.0,Mile Svilar Portero,27/08/1999 (25),,"17,00 mill. €",17000000.0
95.0,Pierluigi Gollini Portero,18/03/1995 (30),,"1,00 mill. €",1000000.0
89.0,Renato Marin Portero,10/07/2006 (18),,500 mil €,500000.0
5.0,Evan Ndicka Defensa central,20/08/1999 (25),,"25,00 mill. €",25000000.0
23.0,Gianluca Mancini Defensa central,17/04/1996 (29),,"18,00 mill. €",18000000.0
25.0,Victor Nelsson Defensa central,14/10/1998 (26),,"14,00 mill. €",14000000.0
15.0,Mats Hummels Defensa central,16/12/1988 (36),,"2,50 mill. €",2500000.0
3.0,Angeliño Lateral izquierdo,04/01/1997 (28),,"15,00 mill. €",15000000.0
34.0,Anass Salah-Eddine Lateral izquierdo,18/01/2002 (23),,"8,00 mill. €",8000000.0
2.0,Devyne Rensch Lateral derecho,18/01/2003 (22),,"12,00 mill. €",12000000.0
19.0,Zeki Çelik Lateral derecho,17/02/1997 (28),,"5,00 mill. €",5000000.0
12.0,Saud Abdulhamid Lateral derecho,18/07/1999 (25),,"4,00 mill. €",4000000.0
66.0,Buba Sangaré Lateral derecho,06/08/2007 (17),,"1,00 mill. €",1000000.0
27.0,Lucas Gourna-Douath Pivote,05/08/2003 (21),,"8,00 mill. €",8000000.0
4.0,Bryan Cristante Pivote,03/03/1995 (30),,"7,00 mill. €",7000000.0
16.0,Leandro Paredes Pivote,29/06/1994 (30),,"5,00 mill. €",5000000.0
17.0,Manu Koné Mediocentro,17/05/2001 (24),,"35,00 mill. €",35000000.0
61.0,Niccolò Pisilli Mediocentro,23/09/2004 (20),,"12,00 mill. €",12000000.0
7.0,Lorenzo Pellegrini Mediocentro ofensivo,19/06/1996 (28),,"14,00 mill. €",14000000.0
35.0,Tommaso Baldanzi Mediocentro ofensivo,23/03/2003 (22),,"14,00 mill. €",14000000.0
92.0,Stephan El Shaarawy Extremo izquierdo,27/10/1992 (32),,"5,00 mill. €",5000000.0
18.0,Matías Soulé Extremo derecho,15/04/2003 (22),,"22,00 mill. €",22000000.0
56.0,Alexis Saelemaekers Extremo derecho,27/06/1999 (25),,"17,00 mill. €",17000000.0
21.0,Paulo Dybala Mediapunta,15/11/1993 (31),,"8,00 mill. €",8000000.0
11.0,Artem Dovbyk Delantero centro,21/06/1997 (27),,"30,00 mill. €",30000000.0
14.0,Eldor Shomurodov Delantero centro,29/06/1995 (29),,"4,00 mill. €",4000000.0
