nombre,nombre_original,nombre_web
Napoli,SSC Napoli,ssc-neapel
Inter,Inter,inter
Atalanta,Atalanta,atalanta
Juventus,Juventus,juventus
Roma,AS Roma,as-roma
Lazio,Lazio Roma,lazio-roma
Fiorentina,ACF Fiorentina,acf-fiorentina
Bologna,Bologna FC,bologna-fc
Milan,AC Milan,ac-milan
Como,Como,como
Torino,Torino FC,torino-fc
Udinese,Udinese Calcio,udinese-calcio
Genoa,Genoa CFC,genoa-cfc
Cagliari,Cagliari Calcio,cagliari-calcio
Verona,Hellas Verona,hellas-verona
Parma,Parma Calcio,parma-calcio
Empoli,Empoli FC,empoli-fc
Lecce,US Lecce,us-lecce
Venezia,Venezia FC,venezia-fc
Monza,AC Monza,ac-monza
